headline, anger, disgust, fear, joy, sadness, surprise
"Autos drive European gains", 0, 0, 1, 48, 0, 19
"James Brown's partner can get her things", 0, 0, 2, 21, 6, 4
"Auto show canceled", 0, 0, 0, 2, 35, 17
"UK luxury maker Burberry: 'Made in China'?", 0, 1, 0, 0, 3, 30
"On-the-job naps might cut heart risk", 0, 0, 4, 43, 0, 42
"No. 1 Florida survives Rupp Arena, streak hits 16", 0, 0, 0, 39, 0, 6
"J.K. Rowling marks spot of 'Potter's' end", 0, 0, 2, 6, 36, 21
"Gronholm takes a commanding lead", 0, 0, 0, 37, 0, 6
"Howard slams Obama on Iraq policy", 29, 18, 9, 1, 8, 12
"Manila hints at ransom approval", 3, 1, 8, 0, 16, 11
"Champion Murray too good for Kim", 0, 4, 0, 8, 3, 7
"G7: Yen skates by, yuan singled out", 2, 0, 4, 8, 15, 6
"Gunman 'was Srebrenica survivor'", 4, 0, 19, 7, 17, 30
"Cutting through the clutter to get things done", 0, 3, 9, 21, 9, 14
"Mother: Lohan is doing 'great' in rehab", 2, 0, 10, 47, 17, 19
"Who's going to win at the Grammys?", 0, 0, 1, 31, 0, 20
"Libby defense upsets judge, rests", 9, 13, 7, 0, 12, 31
"Breakup rings find new homes", 0, 0, 2, 17, 31, 10
"Gronholm ahead as Solberg crashes", 0, 0, 0, 37, 11, 9
"'Norbit' a waste of Murphy", 0, 8, 0, 0, 20, 6
"Rocky start for Bangkok airport", 0, 0, 8, 19, 14, 20
"12 dead in Lebanese minibus bombings", 11, 0, 61, 0, 87, 9
"Sex torture claims hit Russia army", 25, 45, 21, 0, 35, 20
"Mega-marsupials once roamed Australia", 0, 0, 2, 7, 4, 52
"Rupert Murdoch's secret TiVo", 0, 0, 3, 3, 0, 23
"UPDATE 1-Plane crashes at Moscow airport, no passengers", 3, 0, 42, 16, 50, 29
"HPV vaccination stirs heated debate in America", 30, 0, 20, 6, 10, 38
"Court TV: Accused killer tells jury a love story", 8, 17, 16, 3, 14, 45
"Whistle-blowing Web site exposed", 0, 0, 7, 22, 7, 37
"Start late, retire rich", 0, 0, 0, 32, 1, 32
"Somali PM vows to bring Islamists to justice", 30, 17, 15, 18, 17, 4
"Swingers more common than most think", 0, 3, 5, 8, 11, 29
"Anna Nicole Smith fans mourn in cyberspace", 3, 0, 0, 0, 70, 7
"Antibiotic Ketek more dangerous than thought", 9, 0, 56, 0, 8, 44
"Time to book your cruise", 0, 0, 0, 45, 0, 19
"'Blazing Angels' for PS3 fails to soar", 0, 0, 12, 4, 42, 12
"North Korea aid demand stall talks", 7, 0, 12, 0, 29, 13
"Cartoon Network head steps down", 0, 0, 13, 4, 43, 28
"Malaysia aggressively wooing tourists", 1, 0, 4, 49, 0, 27
"Anna Nicole Smith's Bahamas home seized", 2, 5, 9, 1, 49, 19
"Andromeda involved in galactic collision", 0, 0, 19, 0, 27, 48
"Rwanda mulling 3-kid limit for families", 0, 0, 5, 36, 13, 32
"Wilkinson sets record in tame win", 0, 0, 0, 57, 0, 18
"Army engineers say dam safe", 0, 0, 12, 43, 0, 16
"France: Al Qaeda suspects arrested", 8, 4, 43, 31, 12, 17
"Utah gunman survived Srebrenica", 7, 9, 10, 15, 12, 13
"Creating a whole album in a month?", 0, 0, 0, 22, 0, 42
"India to test new nuclear missile", 10, 4, 71, 0, 24, 22
"G7 to China: Ease exchange rate grip", 4, 3, 10, 0, 13, 15
"Hatton hands back IBF title again", 2, 5, 0, 17, 16, 7
"Bernanke: Economy healthy, but...", 0, 0, 16, 8, 9, 12
"Mickelson, Sutherland share lead", 0, 0, 0, 37, 0, 6
"Napping is good for your heart, study finds", 0, 0, 0, 51, 0, 42
"Princess Masako author: No regrets", 0, 0, 0, 10, 3, 11
"Students use IM-lingo in essays", 0, 7, 8, 1, 10, 38
"Malaysia launches tourism campaign", 0, 0, 0, 54, 0, 27
"Study: Africa's Internet gap getting wider", 2, 0, 7, 0, 52, 12
"Travel chaos as heavy snow hits UK", 4, 7, 32, 0, 28, 20
"Paula Abdul: 'I have never been drunk'", 1, 4, 0, 6, 1, 24
"Salmonella outbreak traced to peanut butter", 4, 0, 70, 0, 16, 19
"Putin: U.S. force fostering nuke ambitions", 27, 0, 43, 0, 13, 11
"Nuke detectors to ring New York, official says", 0, 0, 45, 12, 8, 12
"Double bus-bombing kills three in Lebanon", 10, 0, 65, 0, 81, 20
"Davydenko out as seeds scattered", 0, 0, 2, 8, 16, 19
"Obama: I'm running for president", 0, 0, 0, 31, 0, 20
"Paterson boots Scotland to victory", 0, 0, 0, 58, 0, 9
"African-Americans are organ donors these days, but what about bone marrow?", 0, 0, 14, 13, 12, 25
"Study: On-the-job naps might help heart", 0, 0, 2, 44, 0, 40
"Guinea capital largely calm under curfew, marital law", 0, 0, 40, 21, 9, 20
"Bosses sleeping on idea of letting workers take naps", 0, 0, 3, 20, 10, 39
"Teacher's porn conviction sparks tech debate", 29, 42, 16, 0, 18, 30
"Singapore pampers its waterfront promenade", 0, 0, 0, 44, 0, 19
"Rwanda mulls three-child limit", 0, 0, 3, 24, 14, 32
"Samsung settles price-fixing lawsuit", 5, 5, 7, 29, 8, 13
"Radical cleric al-Sadr in Iran, U.S. insists", 14, 12, 35, 0, 18, 24
"Reports: Harvard set to name first female president", 0, 0, 0, 60, 4, 33
"Iraq unveils new security plans", 0, 4, 33, 15, 12, 34
"University offers support to New Orleans school", 0, 0, 0, 54, 0, 20
"Storm causes slick, icy roads", 2, 4, 39, 0, 21, 5
"South Korea fire kills 10 foreigners", 0, 1, 40, 0, 75, 27
"Prehistoric lovers found locked in eternal embrace", 0, 0, 0, 45, 12, 48
"Charts: Is your city lean or lethargic?", 0, 0, 4, 5, 4, 9
"Peru leader questioned in massacre probe", 28, 17, 19, 14, 30, 14
"U.S. commander: Iraq not hopeless", 7, 10, 12, 34, 12, 20
"Australian PM stands by Obama attack", 1, 8, 4, 16, 7, 15
"Mardi Gras rebound in the offing for New Orleans?", 2, 0, 3, 47, 3, 27
"Siestas may cut heart disease risk", 0, 0, 4, 54, 2, 30
"Oregon snorkeler mistaken for rodent, shot in face", 8, 0, 22, 0, 73, 26
"Petraeus takes command in Iraq", 11, 5, 21, 8, 5, 8
"6 dead after Utah Mall shooting rampage", 36, 0, 43, 0, 76, 22
"Sharks kill four people in 'dull' year", 3, 0, 41, 0, 67, 23
"Record-shattering day on Wall St.", 0, 0, 0, 52, 0, 29
"Comedian says government silences critics", 4, 11, 6, 7, 13, 11
"Rockers big winners at Brit Awards", 0, 0, 0, 64, 0, 13
"Samba school leader killed before Rio carnival", 13, 0, 34, 4, 83, 25
"Taiwan's 'Mr. Clean' indicted, steps down", 0, 8, 4, 12, 41, 26
"Woman fights to keep drunken driver in jail", 54, 15, 17, 25, 6, 19
"Al Qaeda group calls for attacks on U.S. oil", 49, 10, 78, 0, 15, 20
"Cousin: Gunman was Srebrenica survivor", 9, 2, 13, 15, 16, 13
"Turkmenistan votes for president", 0, 0, 0, 33, 0, 11
"Here is some advice to take to heart...", 0, 0, 0, 12, 0, 17
"10 don't-miss tax breaks", 0, 0, 4, 6, 2, 6
"Police break up Kosovo protests", 37, 0, 10, 20, 17, 10
"Messi makes Barcelona squad return", 0, 0, 0, 14, 13, 13
"Jump reported in accidental drug-overdose deaths", 3, 0, 21, 0, 77, 23
"Catania punished for fan violence", 27, 0, 11, 0, 44, 13
"Isinbayeva sets 20th world record", 0, 0, 0, 69, 0, 31
"Lawmakers blast FDA drug safety oversight", 31, 9, 15, 14, 26, 14
"Regular naps make hearts healthy", 0, 0, 2, 47, 0, 41
"Ice stops trolleys cold", 0, 0, 9, 0, 29, 0
"U.S. gunman 'was Srebrenica survivor'", 7, 9, 14, 12, 18, 27
"Outdated baby food found on shelves", 9, 37, 14, 0, 33, 21
"Tow truck drivers accused of stealing cars", 17, 28, 13, 0, 17, 11
"Bush: It's time for Congress to back energy plan", 7, 11, 15, 21, 13, 2
"UK soldiers cleared of Iraq abuse", 2, 10, 6, 33, 5, 12
"FDA revises label warnings on the antibiotic Ketek", 11, 5, 19, 34, 8, 17
"Toshiba Portege R400", 0, 0, 0, 7, 0, 7
"South Africa mourns Adelaide Tambo", 0, 0, 0, 0, 76, 7
"Evacuees can return home after plant blast", 6, 0, 14, 51, 16, 15
"Anna Nicole Smith's body lies in legal limbo", 0, 0, 0, 0, 68, 18
"Former teacher poses for Playboy", 4, 15, 0, 17, 12, 34
"France rejects Rwandan investigators", 30, 5, 13, 0, 25, 19
"A nap a day may keep the heart doctor away", 0, 0, 2, 40, 0, 44
"Higley, Gonzalez lead in Malaysia", 3, 4, 5, 25, 10, 12
"Grammys ready to name winners", 0, 0, 0, 40, 0, 18
"Pound will not drop Armstrong case", 9, 0, 4, 5, 3, 9
"Reunited Police to start world tour in May", 0, 0, 0, 39, 0, 7
"Turkmen acting leader sworn in as new president", 0, 0, 0, 33, 0, 13
"Allen and Okur get All-Star call", 0, 0, 0, 37, 0, 9
"Svindal claims are golden double", 0, 0, 0, 22, 0, 4
"Trolley Square shooting leaves 6 dead, including gunman", 12, 0, 57, 0, 87, 18
"Bridge blast stops I-95 traffic", 7, 0, 51, 0, 28, 24
"Mother, daughter stabbed near school", 5, 4, 49, 0, 74, 25
"Excerpt: Politicians and the press", 0, 11, 3, 0, 0, 0
"North Korea gets 'money and respect'", 1, 0, 2, 24, 2, 12
"Beyonce in a bikini as SI's swimsuit cover model", 4, 4, 2, 24, 5, 7
"Loving with all your ... brain", 0, 0, 0, 32, 0, 40
"Shoplifters' choice: Police or T-shirt of shame", 17, 21, 8, 11, 11, 32
"Cuban official: Web a 'wild colt'", 0, 0, 18, 0, 8, 9
"Slow 'Music and Lyrics'", 0, 0, 0, 20, 0, 6
"Mexican navy helps in hunt for U.S. engineer", 0, 0, 9, 36, 10, 17
"Smith baby may not be pot of gold", 0, 2, 3, 5, 19, 16
"Latest updates on world's top stories", 0, 0, 2, 0, 0, 2
"Beating leaves teen in coma", 44, 13, 31, 0, 82, 13
"Tiempo Libre has Grammy dreams", 0, 0, 0, 42, 0, 11
"GPS sneakers locate with press of a button", 0, 1, 0, 22, 0, 34
"Embattled Edwards blogger quits campaign", 2, 0, 0, 0, 20, 19
"Britons deported from Somalia held under Terrorism Act", 19, 15, 42, 0, 25, 14
"Updates on world's top stories", 0, 0, 2, 0, 0, 1
"Breast cancer drug promises hope", 0, 0, 10, 57, 8, 24
"Ancient coin shows Cleopatra was no beauty", 0, 0, 0, 0, 0, 60
"YouTube yields surprising payback", 0, 0, 0, 40, 0, 53
"Up to 22 inches of snow in forecast", 0, 0, 14, 4, 6, 48
"Werder make 10-man Ajax pay price", 0, 3, 0, 22, 3, 6
"EU condemns 'illegal' CIA flights", 45, 13, 15, 27, 25, 5
"Report links humans to global warming", 21, 12, 47, 0, 31, 8
"UN nuclear watchdog slashes Iran aid", 22, 8, 10, 11, 15, 13
"Survey: Tech a tool in teen dating abuse", 7, 23, 10, 6, 43, 18
"The breast cancer breakthrough saving 1000 women a year", 3, 0, 4, 55, 3, 39
"Tourist spot resists gravity, but not progress", 0, 0, 4, 8, 17, 3
"The NFL's 20 biggest potential free agents", 0, 0, 0, 28, 0, 9
"World tourism sets record in 2006", 0, 0, 0, 55, 0, 21
"BA to charge $470 for an extra bag", 17, 9, 11, 0, 15, 23
"Kuerten returns to winners' circle", 0, 0, 0, 41, 0, 17
"World's oldest newspaper now exists only online", 0, 0, 4, 26, 30, 33
"Japanese whaler afire in Antarctic", 8, 7, 13, 0, 40, 8
"EU document: Iranian bomb unstoppable", 12, 0, 60, 0, 28, 19
"U.S. urged to lead on 'green' actions", 3, 0, 9, 32, 9, 9
"See if your city is one of the United States' top 10 fittest or fattest", 5, 7, 13, 11, 11, 32
"Lee in pre-World Cup injury scare", 0, 0, 33, 0, 21, 6
"New cancer drug to save a thousand lives a year", 3, 0, 5, 65, 5, 42
"Ex-teacher guilty in nude-pictures scheme", 17, 68, 15, 0, 15, 30
"Fire extinguisher part of Tennessee execution kit", 8, 24, 12, 13, 12, 31
"Founder returns to Dell helm", 0, 0, 0, 38, 0, 23
"Charles Gibson takes over first place", 0, 0, 0, 43, 0, 16
"Ex-Border Patrol agent beaten in prison", 24, 9, 14, 0, 61, 25
"'Made in China' irks some Burberry shoppers", 30, 22, 0, 0, 10, 19
"Stonehenge workers' village found", 0, 0, 0, 17, 0, 55
"Who is Prince Frederic von Anhalt?", 0, 0, 0, 3, 0, 11
"Latest food-fad -- 'space potatoes'", 0, 5, 9, 1, 9, 30
"Ethiopia readies for millennium all its own", 3, 0, 11, 22, 12, 21
"Good news for slackers: Naps may cut risk for heart problems", 0, 0, 3, 50, 1, 42
"Snowbirds shortening their Florida stays", 5, 0, 9, 0, 26, 22
"Win a (concert) date with the Police", 0, 0, 10, 33, 6, 12
"Snow begins, heavy accumulations expected", 2, 0, 37, 4, 11, 11
"Jet flips in snowstorm, none dead", 0, 0, 30, 35, 29, 18
"Frantic 911 call in Ryan O'Neal case", 0, 0, 28, 0, 15, 30
"Durant's success trumps the Gators", 0, 0, 0, 43, 0, 8
"Scientist snoops in astronauts' journals", 4, 30, 9, 4, 8, 19
"YouTube founders split $650M payout", 0, 0, 0, 38, 0, 23
"African nation hopes Whoopi can help", 0, 0, 1, 35, 1, 12
"United hang on to six-point lead", 0, 0, 2, 29, 2, 7
"Lawyer seizes Smith's Bahamas home", 3, 0, 9, 0, 42, 11
"Was Prince's super show too revealing?", 0, 7, 11, 7, 4, 28
"Clijsters looks for a long goodbye", 0, 0, 6, 4, 33, 18
"Snow's too deep even for snowmobiles", 2, 2, 29, 0, 15, 40
"Study: Female seals picky about mates", 0, 0, 0, 5, 0, 39
"ROUNDUP: Protests erupt despite state of siege In Guinea", 42, 3, 35, 0, 20, 18
"Study: More kids exposed to online porn", 35, 64, 44, 0, 28, 12
"Beyonce new SI bikini cover girl", 0, 4, 2, 26, 5, 2
"Marijuana helps ease HIV nerve pain, study says", 0, 0, 9, 33, 12, 67
"Serena misses Bangalore tournament", 0, 0, 3, 0, 36, 11
"Dryer blamed for fire killing 39 cats, dogs", 10, 3, 11, 0, 74, 25
"Roddick, Murray score in San Jose", 0, 0, 0, 27, 0, 7
"Apple trademark dispute settled", 12, 0, 0, 32, 6, 10
"U.S. online love brokers eye China", 0, 5, 6, 1, 21, 18
"U.S. diverts troops to fight Taliban", 30, 0, 28, 15, 20, 17
"'House of Cards' actor Ian Richardson dead", 0, 0, 7, 0, 81, 7
"Taliban leader killed in airstrike", 3, 0, 22, 29, 53, 14
"Escape to Prague without the summer hordes", 0, 0, 0, 34, 0, 24
"Kathmandu: First snow in 63 years", 2, 2, 12, 4, 15, 77
"Nasdaq fails in bid for LSE", 0, 1, 3, 0, 41, 12
"Ex-pastor gets death sentence", 5, 6, 12, 0, 73, 44
"Baby born on turnpike after dad misses exit", 0, 0, 11, 34, 13, 57
"Study links chimps and 'hammers'", 0, 0, 0, 14, 0, 43
"UN-Google Earth map climate change", 10, 6, 14, 41, 17, 31
"Mortar assault leaves at least 18 dead", 22, 2, 60, 0, 64, 0
"Goal delight for Sheva", 0, 0, 0, 93, 0, 38
"Nigeria hostage feared dead is freed", 18, 0, 52, 66, 20, 65
"Bombers kill shoppers", 66, 39, 94, 0, 86, 0
"Vegetables, not fruit, slow brain decline", 0, 0, 25, 26, 2, 46
"PM: Havana deal a good experiment", 0, 0, 0, 34, 0, 28
"Kate is marrying Doherty", 0, 0, 0, 71, 0, 41
"NASA revisiting life on Mars question", 0, 0, 0, 23, 0, 32
"Happy birthday, iPod", 0, 0, 0, 71, 0, 3
"Alonso would be happy to retire with three titles", 0, 0, 0, 61, 24, 0
"Madonna's New Tot 'Happy at Home' in London", 0, 0, 0, 63, 0, 0
"Nicole Kidman asks dad to help stop husband's drinking", 14, 0, 20, 0, 28, 16
"United Finds Good Connection in Win", 0, 0, 0, 63, 0, 6
"'Runway': Making Good Without Making Nice", 0, 3, 0, 22, 0, 6
"We were 'arrogant and stupid' over Iraq, says US diplomat", 42, 30, 25, 23, 81, 45
"Bad reasons to be good", 9, 3, 0, 15, 25, 3
"Madonna's new baby's daddy didn't realize adoption was `for good'", 0, 0, 2, 9, 7, 62
"Women in their 60s 'are perfectly good mothers'", 19, 19, 23, 24, 26, 11
"We're a pretty kind 'bully'", 0, 0, 0, 13, 0, 0
"Moderate drinking reduces men's heart attack risk", 0, 4, 26, 52, 9, 16
"Tom Cruise and Katie Holmes set wedding date", 0, 0, 0, 60, 0, 10
"Kidnapped AP photographer freed in Gaza", 30, 28, 50, 49, 31, 37
"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory", 34, 52, 46, 6, 39, 0
"Hurricane Paul Weakens To Tropical Storm", 0, 0, 34, 33, 0, 37
"UK announces immigration restrictions", 42, 40, 39, 0, 41, 16
"Three found alive from missing Russian ship -report", 0, 0, 28, 84, 13, 63
"Poison Pill to Swallow: Hawks Hurting After Loss to Vikes", 0, 8, 23, 0, 26, 0
"Injured Marathon Winner Leaves Hospital", 14, 11, 7, 67, 21, 0
"Hacker unlocks Apple music download protection", 21, 14, 12, 25, 0, 52
"Spanish journalist seized in Gaza", 61, 51, 65, 0, 52, 21
"Sudan urges UN to replace its special envoy", 12, 6, 0, 0, 0, 16
"Resolution approved for international games", 0, 0, 0, 45, 0, 15
"Pair of Satellites Will Document Sun in 3-D", 0, 0, 0, 43, 0, 32
"Martian Life Could Have Evaded Detection by Viking Landers", 5, 0, 0, 3, 5, 36
"The sweet tune of an anniversary", 0, 0, 0, 83, 0, 0
"Did Viking Probes Miss Life on Mars?", 11, 0, 6, 0, 10, 41
"Diplomat acknowledges US arrogance in Iraq", 45, 44, 0, 14, 18, 26
"More Human Remains Found at Ground Zero", 39, 22, 6, 0, 68, 27
"How to Prevent Iraq From Getting Even Worse", 31, 39, 67, 0, 33, 0
"Tensions as Hungary marks uprising", 25, 0, 32, 0, 32, 7
"Stanford study warns of Internet addiction", 0, 13, 23, 0, 9, 3
"No evidence of ice reserves on the moon", 0, 0, 0, 0, 16, 10
"A Picture and A Thousand Words", 0, 0, 0, 0, 0, 0
"Parachutist dies at bridge-jump festival", 6, 6, 33, 6, 88, 0
"US Troops Killed In October In Iraq", 46, 39, 41, 0, 77, 0
"Chefs not counting calories, study finds", 15, 0, 5, 0, 21, 0
"Deaths linked to flu vaccine", 34, 0, 48, 0, 71, 0
"Perfect lives lose their focus", 0, 0, 5, 34, 16, 6
"Bread-Heavy Diet Linked to Kidney Cancer", 1, 5, 55, 0, 42, 23
"Beating poverty in a small way", 0, 0, 8, 32, 28, 0
"Israel insists on Lebanon overflights", 39, 31, 4, 0, 33, 0
"Britain to restrict immigrants from new EU members", 7, 8, 7, 0, 4, 0
"Confusion Reigns In the Expanding Digital World", 3, 0, 0, 0, 0, 16
"Game on! London exhibition celebrates the history of video games", 0, 0, 0, 70, 0, 6
"Making peace from victory over poverty", 0, 0, 10, 63, 16, 0
"Marine killed in fighting west of Baghdad", 24, 0, 44, 0, 50, 0
"Scientists create first cloaking device", 0, 0, 0, 17, 0, 17
"Amateur rocket scientists reach for space", 0, 0, 0, 12, 0, 9
"Confusion Reigns In the Expanding Digital World", 6, 0, 6, 0, 6, 19
"Deaths linked to flu vaccine", 37, 9, 57, 0, 66, 21
"Israel admits using phosphorous shells in Lebanon", 54, 47, 6, 0, 59, 16
"4th person dies after receiving flu shot", 39, 0, 56, 0, 57, 0
"Police and shoppers targeted in growing Iraq violence", 45, 38, 75, 0, 53, 0
"Scientists discover miracle in the depths", 0, 0, 3, 21, 0, 47
"Doctors Seeing Patients Who Think They're Internet Addicted", 0, 0, 0, 9, 16, 12
"China launches two satellites into orbit", 0, 0, 0, 30, 0, 6
"Vegetables May Boost Brain Power in Older Adults", 0, 0, 5, 24, 0, 25
"Hurricane Paul nears Category 3 status", 0, 0, 68, 0, 23, 6
"Russian ship sinks, 18-member crew missing", 5, 0, 60, 0, 71, 0
"Iran's president urges higher birth rate", 0, 1, 0, 2, 0, 13
"Apple set for massive market gains", 0, 0, 0, 26, 0, 6
"Tumor Types May Explain Survival Rates for Cancer", 0, 0, 9, 14, 24, 6
"Routine mission turns into hunt for missing comrade", 3, 0, 16, 0, 26, 20
"Bad weather slows S.Korean search for Russian ship", 6, 16, 2, 0, 42, 0
"Tailors and housewives busy as Muslims celebrate Eid", 8, 0, 0, 54, 21, 0
"Active peace brings the promise of development", 0, 0, 0, 87, 0, 0
"Abbas condemns Israeli massacre in northern Gaza Strip", 70, 74, 70, 0, 51, 0
"Bangladesh ferry sinks, 15 dead", 24, 0, 16, 0, 85, 0
"Bucs find a new kick in life", 0, 0, 0, 20, 0, 17
"Google to unveil election mashup", 0, 0, 0, 10, 0, 16
"Police warn of child exploitation online", 52, 64, 50, 0, 43, 0
"Breast Cancer Awareness is Important", 0, 0, 31, 0, 12, 0
"Hungary police tackle violent protestors", 18, 0, 16, 3, 27, 0
"Three drivers had reason to be proud in Brazil", 0, 0, 0, 44, 0, 0
"Celebrities Protest Malibu Gas Facility", 25, 0, 0, 27, 27, 0
"Lebo: A life lived on the edge", 0, 0, 0, 0, 0, 0
"Presto! He's Batman, then magic man", 0, 0, 0, 30, 0, 34
"Heavy use of mobile phones can make men infertile, scientists say", 0, 0, 44, 0, 17, 35
"Russian ship sinks in Pacific", 9, 0, 23, 0, 66, 12
"China Successfully Launches Two Satellites", 0, 0, 0, 91, 0, 0
"Prestige has magic touch", 0, 0, 0, 31, 0, 0
"Lies, damned lies, and divorce", 43, 40, 10, 0, 50, 0
"Manning inspires Giants to victory in Dallas", 0, 0, 0, 44, 0, 0
"Riot warning for France suburbs", 46, 27, 31, 0, 53, 4
"Full recovery expected for marathon winner", 0, 0, 0, 89, 0, 13
"Sony apologises for global battery recall", 6, 0, 0, 0, 29, 0
"Questions on credit card safety", 1, 0, 5, 0, 5, 0
"Budapest calm after night of violent protests", 34, 2, 18, 18, 17, 0
"Vegetables May Boost Brain Power in Older Adults", 0, 0, 9, 38, 0, 6
"Report criticises US press freedoms", 25, 24, 6, 21, 13, 13
"French suburb riots could resume", 6, 0, 50, 0, 22, 0
"Photographer kidnapping condemned", 47, 55, 0, 21, 33, 3
"Photographer kidnapped in Gaza", 55, 56, 40, 0, 54, 24
"Baseball: Rogers enjoys his muddied streak", 0, 0, 0, 67, 0, 15
"Cultural revolutionary, the iPod is five", 0, 0, 0, 62, 0, 16
"Life on Mars? Maybe We Missed It", 0, 2, 0, 11, 3, 29
"Three found alive from missing Russian ship -report", 0, 0, 5, 75, 14, 57
"Moderate drinking reduces men's heart attack risk", 0, 0, 29, 38, 0, 0
"The sweet tune of an anniversary", 0, 0, 0, 86, 0, 0
"Inconvenient truths", 12, 3, 5, 0, 8, 3
"Dating difficult for Harry Potter", 4, 0, 0, 0, 0, 8
"Students lose their rite of passage", 0, 0, 0, 0, 25, 0
"Putin vows to tackle illegal immigration", 10, 7, 0, 0, 10, 3
"Ottawa must redefine 'terror'", 0, 0, 66, 0, 10, 0
"Britain to Limit Workers from Romania, Bulgaria", 5, 10, 22, 0, 10, 0
"Top General Optimistic on Iraq", 28, 30, 0, 27, 44, 0
"Kim Osorio Wins Sexual Harrassment Suit Against The Source", 8, 8, 0, 36, 3, 0
"Silly and substantial", 0, 1, 0, 2, 0, 0
"Official laughs for Borat", 24, 22, 0, 34, 25, 0
"Speaker Hastert testifies before panel probing sex scandal", 9, 18, 0, 0, 14, 0
"On Educating Sexes Separately", 0, 0, 0, 0, 0, 0
"Tom Cruise and Katie Holmes set wedding date", 0, 0, 0, 56, 0, 17
"Martian Life Could Have Evaded Detection by Viking Landers", 4, 0, 2, 0, 4, 24
"Ukraine gas deal marred by fears", 21, 20, 84, 0, 25, 0
"Marathon victory comes at heavy cost", 5, 0, 0, 38, 38, 0
"College tuition continues climbing", 54, 31, 3, 0, 40, 3
"German paper shows soldiers desecrating skull", 43, 66, 17, 0, 37, 0
"War is close, Ethiopia tells Somali rebels", 52, 33, 57, 12, 40, 0
"Advantage Cardinals with Suppan in Game 4", 0, 0, 0, 4, 0, 0
"NASA spacecraft to measure Sun", 0, 0, 0, 29, 0, 26
"Sony Hates Europeans, Will Prevent The Importing of PS3", 34, 8, 0, 0, 0, 22
"Flu Vaccine Appears Safe for Young Children", 0, 0, 6, 45, 0, 0
"Google To Launch Yet Another Search Tool", 0, 0, 0, 21, 0, 6
"Tropical Storm Paul's Outer Bands Hit Mexico's Baja California", 16, 0, 32, 0, 57, 0
"Israeli Bomblets Plague Lebanon", 54, 48, 67, 0, 39, 0
"New Indonesia Calamity, a Mud Bath, Is Man-Made", 54, 43, 43, 0, 43, 15
"U.S. Weighs Sanctions Against North Korea", 61, 32, 23, 0, 44, 0
"Rice, in Baghdad, Insists That Iraqis Are ", 37, 33, 26, 0, 33, 0
"Senator Says U.S. Should Rethink Iraq Strategy", 0, 0, 0, 30, 33, 33
"German Chief Forges Accord on Financing Health Care", 0, 0, 0, 33, 0, 15
"Turkish Writers Say Efforts to Stifle Speech May Backfire", 49, 11, 45, 8, 35, 0
"Kurdish Lawmaker Killed in an Attack in Baghdad", 52, 42, 75, 0, 59, 0
"Anti-U.S. Attack Videos Spread on the Internet", 63, 45, 58, 0, 54, 0
"Women Face Greatest Threat of Violence at Home, Study Finds", 51, 62, 57, 0, 58, 17
"Appeal by Chinese Researcher for Times May Soon Be Heard", 0, 0, 0, 8, 0, 1
"Brazil Air Force Cites Faults and Confusion in Fatal Crash", 15, 0, 43, 0, 68, 11
"A Mix of Oil and Environmentalism", 29, 29, 33, 0, 33, 0
"Immigrants and French Reach Deal in Standoff", 18, 0, 0, 50, 28, 0
"Genghis Khan Beer? Mongolia Grimaces", 20, 0, 0, 15, 0, 20
"Dead Bachelors in Remote China Still Find Wives", 0, 0, 0, 20, 14, 27
"Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu", 0, 0, 0, 0, 0, 0
"Paris Journal: Smoking No Longer Tres Chic in France", 0, 4, 0, 40, 2, 21
"An Old Letter Casts Doubts on Iran's Goal for Uranium", 0, 0, 25, 8, 0, 39
"U.S. Warns North Koreans About Nuclear Test", 23, 0, 47, 0, 39, 0
"Global Sludge Ends in Tragedy for Ivory Coast", 0, 0, 11, 4, 71, 0
"Equipment on Plane in Brazil Collision May Have Been Faulty", 49, 33, 46, 0, 67, 38
"New Indonesia Calamity, a Mud Bath, Is Man-Made", 59, 41, 6, 0, 62, 13
"Iraqi Journalists Add Laws to List of Dangers", 7, 0, 47, 0, 28, 13
"U.N. Force Is Treading Lightly on Lebanese Soil", 0, 0, 32, 24, 32, 0
"Cleric Said to Lose Reins Over Part of Iraqi Militia", 33, 33, 33, 0, 38, 9
"Citing Spy Agencies' Study, Democrats Seek Iraq Changes", 0, 0, 0, 33, 0, 36
"Opera Canceled Over a Depiction of Muhammad", 3, 0, 0, 0, 28, 0
"Military Officials Add to U.S. Criticism of Iraq's Government", 25, 2, 7, 30, 0, 26
"Teacher in Hiding After Attack on Islam Stirs Threats", 13, 2, 38, 0, 36, 0
"Combative Bush Releases Parts of Terror Study", 34, 17, 49, 0, 0, 21
"Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out", 39, 37, 56, 0, 35, 6
"Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says", 32, 33, 41, 0, 31, 0
"Seduced by Snacks? No, Not You", 26, 30, 0, 4, 28, 0
"Friends for Life: An Emerging Biology of Emotional Healing", 0, 0, 0, 87, 0, 16
"Alzheimer's Drugs Offer No Help, Study Finds", 33, 0, 16, 0, 91, 47
"Across Europe, Worries on Islam Spread to Center", 10, 9, 19, 0, 43, 0
"Cooking Defines Sephardic Jews at Sukkot", 0, 0, 0, 49, 0, 0
